"year","total_count"
1947,64788
1948,70462
1949,62523
1950,85580
1951,103643
1952,107961
1953,108699
1954,105649
1955,108492
1956,106997
1957,111474
1958,109456
1959,109972
1960,112117
1961,120047
1962,125567
1963,141297
1964,161909
1965,176545
1966,179910
1967,191787
1968,207798
1969,214982
1970,219072
1971,223171
1972,227414
1973,230792
1974,234675
1975,248632
1976,254512
1977,261471
1978,271836
1979,281061
1980,279663
1981,282642
1982,294527
1983,308581
1984,317342
1985,334407
1986,348517
1987,366806
1988,386078
1989,401484
1990,409350
1991,410896
1992,416356
1993,424795
1994,435677
1995,446785
1996,456414
1997,454213
1998,471544
1999,491102
2000,528442
2001,540703
2002,555709
2003,579771
2004,613886
2005,646200
2006,670433
2007,691789
2008,723153
2009,748250
2010,771482
2011,821259
2012,879158
2013,900098
2014,887492
2015,904172
